ah	aa
bank	bangi
humanity	banii-aadannimo
bank	banki
contaminate	banmari
demonstrating	bannaambax
rally	bannaanbax
openness	bannaani
gas	bansiin
fear	baq
mule	baqal
vulture	baqalye
prosperity	baqas
fear	baqasho
parrot	baqbaqaa
fear	baqdin
fright	baqnin
fear	baqo
envelope	baqshad
enveloped	baqshadaysan
tip	baqshiish
resuscitate	baqti'afuuf
carnage	baqti-gowrac
lottery	baqtiyaanasiib
teach	bar
half	bar
lamb	baraar
prosperity	baraare
awake	baraarugsan
alertness	baraarugsanaan
pupil	barad
ice	baraf
freeze	barafoob
perfumed	barafuumaysan
perfume	barafuumee
perfume	barafuun
blessed	barakaysan
bless	barakee
blessing	barako
cockroach	barambaro
partial	baran
cockroach	baranbaro
swelling	barar
swollen	bararan
swollen	bararsan
swelling	bararsanaan
governor	barasaab
rear	barbaari
side	barbar
tie	barbarradhac
terror	bardad
startle	bardad
athlete	bardooddame
game	bardooddan
play	bardooddan
teacher	bare
east	bari
instruction	barid
rice	bariid
greeting	bariido
safety	bariin
rice	bariis
Barkash	Barkhash
cushion	barkimo
pillow	barkin
parliament	barlamaan
parliament	barlammaan
barrel	barmiil
program	barnaamij
Barnee	Barni
bromine	baroomiin
crying	baroorasho
consoling	baroordiiq
mourn	barooro
Baree	Barre
sliding	barriiqasho
slip	barriiqo
anchor	barroosin
center	bartame
center	bartan
selfishness	bartijirenimo
prosperous	barwaaqaysan
fertilizer	barwaaqeeye
prosper	barwaaqoob
prosper	barwaaqow
ruminate	baryaqaad
begging	baryo
begging	baryootan
bus	bas
spy	basaas
spy	basaas
espionage	basaasnimo
passport	basaboor
onion	basal
difficulty	basanbaas
hot	basbaas leh
outgoing	bashaash
prosperity	bashbash
Basheer	Bashiir
bicycle	baskiilad
revolver	bastoolad
battery	bateri
gasoline	batrool
Batula	Batuulo
thigh	bawdo
exit	bax
behavior	baxaalli
sailors	baxaari
sea	baxar
growth	baxdin
sailor	baxri
good	baxsan
escape	baxsasho
leaving	baxsi
escape	baxso
clarity	bayaan
pipe	bayb
flee	baydad
wealth	bayddi
turn	baydh
boil	bayli
disgrace	bayuur
safety	bed
changed	beddelan
competition	bedertan
pipe	beeb
seller	beecmushtari
measure	beeg
meter	beege
correspondence	beegmo
foreskin	beejo
prosperity	beekhaan
lose	beel
community	beelaysi
chief	beeldaaje
chief	beeldaajiye
liar	beenaale
liar	beendhure
refute	beenee
liar	beensheeg
farm	beer
farm	beer
rural	beeraad
farmer	beerale
farmers	beeraley
farmed	beeran
agronomy	beeraqoon
farming	beerasho
softheartedness	beerjileec
softheartedness	beernugeyl
softhearted	beernugul
farms	beero
farmers	beerrey
harvest	beerta gooynteeda
harvest	beerta jarideeda
agronomist	beeryaqaan
pancreas	beeryaro
incense	beeyo
rest	beji
rest	bejiino
calamity	belaayad
difficulty	belaayo
penicillin	belashiriin
flame	belbel
town	beled
municipality	belediya
Belgrade	Belgaraad
Belgium	Beljiyam
hut	beni
Benin	Beniin
penicillin	benishiliin
gas	bensiin
race	beretan
day	beri
prosperity	berisamaad
reservoir	berked
tomorrow	berri
Somalia	Berri-Soomaal
tomorrow	berrito
recently	beryahan
enough	bes
gas	betrool
gray	bey
environment	bey'ad
bayonet	beynaad
Beirut	Beyruut
confiscate	beytummaal
desire	bid
guess	bidaal
heretic	bidci
slaves	biddood
spark	big
bugle	bigil
twinkling	biglayn
bucking	biibbiile
buck	biibbiilee
sale	biic
bit	biid
challenge	biime
increase	biir
beer	biir
pen	biire
increase	biiri
accumulation	biiris
accumulation	biiro
pajama	bijaama
pyjamas	bijaamo
virgin	bikrad
virgin	bikro
virginity	bikronimo
start	bilaab
beginning	bilaabasho
country	bilaad
begin	bilaw
spray	bilbil
marry	bilcan
prettiness	bilic
twinkle	bilig
twinkle	bilig
looting	bililiqaysi
scatter	biliq
women	bilis
supposing	billaa
begin	billaab
dagger	billaawe
medal	billad
begin	billaw
begin	billoow
example	bilmatal
brackets	bilo
beginning	bilow
billion	bilyan
Binti	Binti
fear	biq
sparkle	birbir
magnet	birdanab
speckle	birdhic
slaughter	biree
sparkling	birid
lightning	biriq
prism	birisim
mousetrap	birjiir
steel	birmac
rescue	birmasho
barrel	birmiil
iron	biro
Beerey	Birre
steel	birsan
metallurgy	bir shubid
chili	bisbaas
congratulate	bishaaree
lip	bishin
wedge	bishkil
cooked	bisil
heal	biskood
piston	bistoon
save	bixi
paying	bixin
departing	bixis
departure	bixitaan
departure	bixitin
payer	bixiye
ejaculate	biyabbax
ejaculation	biyabbixid
waterfall	biyadhac
canal	biyammareen
usher	biyantooni
flush	biyarraaci
dam	biyaxireen
water	biyo
ejaculate	biyobax
watery	biyo leh
watershed	biyoshub
rainwater	biyo xareed
dam	biyoxidh
appreciation	bogaad
compliment	bogaadi
healing	bogsasho
cure	bogsii
healing	bogsiin
long	boholyoob
longing	boholyow
rest	boji
rest	bojiino
police	boliis
bomb	bomba
grapefruit	bombeelmo
bombard	bomgaree
robbery	boobid
throat	booc
jump	bood
dust	boodh
ulcer	boog
capture	booji
captive	boojimo
Poland	Booland
rob	booli
police	booliis
police	boolis
duck	booloboolo
robbing	boolyid
visit	booqasho
visit	booqo
cloth	booranji
boldness	boorrin
purse	boorso
property	boos
Bootan	Bootaan
jump	bootin
Boto	Booto
cry	booy
chatter	booyaan
hundredth	boqlaad
hundred	boqol
hundredth	boqolaad
percent	boqolkiiba
bowstring	boqon
undermine	boqonta gooy
king	boqor
imperial	boqoraad
queen	boqorad
kingship	boqortinnimo
kingdom	boqortooyo
crowned	boqran
proton	borotoon
potash	botaash
blow	bow
fence	bowd
thigh	bowdo
groin	bowdo-barile
thump	bow sii
servant	boy
Brazil	Braasiil
Prague	Braga
professor	brofesor
trade	bucshiro
grave	bud
pound	budee
club	budh
butter	budhcad
grind	budli
flour	budo
injury	bug
ailment	bugto
bourgeois	bujurwaasi
bourgeoisie	bujurwaasiyad
inpatient	bukaanjiif
outpatient	bukaansocod
envelope	bukhshad
ailing	bukid
babble	bulaan
sound	buldi
police	buliis
decay	bulmid
sociability	bulshannimo
socialize	bulshee
sociable	bulshey
termite	bulunbulyo
tassel	bulush
Bulhan	Bulxan
bomb	bumbo
bomb	bunbo
bundle	bundad
rifle	bunduq
rifle	buntukh
banks	bunuug
burst	buq
sour	buqbuqee
mules	buquul
club	bur
brush	buraash
canteen	buraashad
toothbrush	buraashka ilkaha
fragments	burbur
ruining	burburin
crumbled	burbursan
Burhan	Burhaan
bourgeois	burjuwaasi
bourgeoisie	burjuwaasiyad
purgative	burkaanti
extra	buro
gush	burqo
hammer	burris
hill	burshaan
shiver	burunjiyee
fragments	burur
shatter	bururi
crushed	burursan
brush	burush
luck	buruud
dust	bus
misery	busaarad
crave	buseel
sickness	bushi
lip	bushin
bicycle	bushkaleeti
bicycle	bushkuleeti
biscuit	buskud
garden	bustaan
gush	butaac
gush	butaaco
fly	buub
chase	buubso
bellows	buufimo
balloon	buufin
book	buug
textbooks	buugagga dugsiyada
bibliography	buugagsheeg
cashbook	buuglacag
village	buulo
exaggerate	buunbuuni
scholar	buuni
husked	buunshabbaxsan
husk	buunshabbixi
husk	buunshe
bridge	buunto
clamor	buuq
mountain	buur
stoutness	buuraan
fat	buuran
fat	buurbuuran
stoutness	buurnaan
fatness	buurni
foreskin	buuryo
dent	buusbuus
dents	buusbuus
crushed	buusbuusan
husk	buushe
overflow	buuxdhaaf
overfill	buuxdhaafi
filling	buuxin
full	buuxsan
infection	caabaq
Abbi	Caabbi
boat	caabbiri
worshipper	caabid
worship	caabud
swelling	caabuq
lava	caad
habit	caadaysi
justness	caaddilnimo
just	caaddilsan
abnormal	caadi-ahayn
simplicity	caadinimo
custom	caado
cure	caafi
health	caafimaad
illness	caafimaaddarro
cure	caafimaadi
healthy	caafimaad leh
health	caafiyad
household	caa'ilo
laziness	caajis
lazy	caajisan
laziness	caajisnimo
world	caalam
scholar	caalin
physicist	caalinka fisikada
philologist	caalinka qoritaanka afafka
inflamed	caallirsan
frustration	caalwaa
yogurt	caanafadhi
breasts	caanaggaleen
porcupine	caanaqub
fame	caannimo
milk	caano
milkman	caanoole
assist	caaqibee
usefulness	caaqibo
chief	caaqil
intelligence	caaqilnimo
recompense	caaqilo
feeblemindedness	caaqnimo
expert	caarif
borrowing	caariyeysi
active	caarran
strength	caarranaan
mold	caaryo
Asha	Caasha
love	caashaq
storm	caasifad
disobedience	caasinnimo
feebleness	caatibawaa
tonight	caawa
help	caawi
help	caawimo
assist	caawin
help	caawinaad
abuse	caay
laziness	caayibnimo
complaint	cabasho
complaint	cabatin
beads	cabbaad
campsite	cabbaar
weak	cabban
Abban	Cabban
weakness	cabbanaan
Abban	Cabbane
loaded	cabbaysan
traveler	cabbir
measured	cabbiran
passenger	cabbiri
Abda	Cabda
Abdalla	Cabdalle
Abdia	Cabdiyo
soul	cabdo
slave	cabid
enslavement	cabiidsad
enslave	cabiidso
beverage	cabitaan
complain	cabo
drunk	cabsan
fear	cabsasho
fear	cabsi
panic	cabsigal
frighten	cabsigeli
intimidation	cabsigelin
frighten	cabsii
dangerous	cabsi leh
fear	cabso
part	cad
damn	cadaab
repressing	cadaadin
harassment	cadaadis
oppressed	cadaadsan
enemy	cadaawe
enmity	cadaawennimo
enmity	cadaawo
coins	cadadi
itching	cadanyo
Adar	Cadar
enemy	cadaw
lively	cadcad
pieces	cadcad
anemia	caddaad
justice	caddaalad
whiteness	caddaansho
number	caddad
whitey	cadde
Addey	Caddey
white	caddeysan
whiteness	caddi
oppression	caddib
oppress	caddib
oppressing	caddibaad
delay	caddil
Addow	Caddow
angry	cadheysan
anger	cadheysii
anger	cadho
enemy	cadow
enmity	cadownimo
chase	cagaaji
green	cagaaran
vegetarian	cagaaryahan
barefoot	cagacad
barefootedness	cagacaddaan
heavy	cag'adayg
tractor	cagafcagaf
threaten	cagajuglee
greenery	cagcagaar
kick	cagcagee
now	cagi
contrary	cagsi
marvel	cajab
thigh	cajar
wonder	cajiib
laziness	cajis
earlobe	cakaw
hinder	cakis
contrary	caksi
ugh	caku
complain	calaacal
deficiency	calaal
sign	calaamad
marked	calaamaysan
dwarf	calaan
relationship	calaaqaad
rapport	calaaqo
chew	calali
chew	calalso
flag	calan
crown	caleensaar
bud	caleen ubax
Ali	Cali
chew	calili
bait	callaafad
chosen	calman
like	calmo
stomach	calool
diarrhea	caloolbax
conceive	caloolgal
sadness	caloolxumo
melancholy	caloolxun
worry	caloolyoob
worry	caloolyow
mercenary	calooshi-ushaqayste
saliva	calyo
behavior	camal
wellbehaved	camalfiican
act	camaliyad
cheeks	caman
amber	cambar
Ambaro	Cambaro
pear	cambaruud
mango	cambe
crumple	cambus
stock	cammir
sand	cammuud
cheek	can
obstinacy	canaad
pest	canaadi
reprimand	canaan
scold	canaano
Anab	Canab
pineapple	cananaas
pancake	canbaabbur
amber	canbar
pear	canbaruud
mango	canbe
frock	canbuur
udder	candho
saliva	candhuuf
spit	candhuufo
imitate	canjil
tax	canshuur
taxed	canshuuran
mumbling	cantatab
handful	cantoobo
bite	cantuugo
rumple	canyayuub
hunger	caq
contract	caqad
smart	caqli badan
believable	caqli gal
senseless	caqli la'
sensible	caqli leh
stupid	caqli yar
stupidity	caqliyari
freshness	car
encourage	caraadi
Arab	Carab
Arabic	Carabi
rage	caradugaag
fragrance	caraf
Arabian	Carbeed
tame	carbi
exercise	carbis
trained	carbisan
trouble	carcaraaf
haze	carceero
angry	careysan
callus	carfad
perfume	carfi
Arfi	Carfi
Arfon	Carfoon
unripe	cargo
provocation	cariiqsad
provoking	cariiqsi
narrowness	cariir
cartilage	carjaw
divorcee	carmal
anger	caro
confusion	carqalad
tongue	carrab
ululation	carrabdhow
lisp	carrabla'aan
plough	carrarrog
dirt	carro
childhood	carruurnimo
crab	carsaanyo
cancer	carsaanyow
throne	carshi
exhibition	carwo
Arwa	Carwo
red	cas
fine	casaaro
relatives	casabo
honey	casal
incense	casarleged
red	cascas
redden	casee
debility	cashi
relatives	cashiiro
dinner	casho
tax	cashuur
tax	cashuur
respectability	casiis
respectability	casiisnimo
age	casri
modernize	casriyee
invitation	casumaad
inviting	casumid
invite	casun
reproach	cataab
complaint	cataw
frond	caw
destiny	cawaaqib
Awad	Cawad
hurt	cawar
wounded	cawaran
cheating	cawarid
dusk	cawaweero
evening	caweysin
substitute	cawil
help	cawin
hurt	cawir
blinded	cawiran
yellow	cawl
night	cawo
Awrala	Cawrala'
grass	caws
drool	cay
pulley	cayaari
athlete	cayaartoy
sportsman	cayaaryahan
joking	cayaayir
entomology	cayayaanaqoon
fat	cayillan
save	caymi
insurance	caymis
rescuer	caynaanshe
Aynaba	Caynabo
colored	caynadeeysan
saved	caynsan
clouds	cayraamo
poverty	cayrnimo
food	caysh
shame	ceeb
shame	ceebaal
embarrassment	ceebeyn
unripe	ceedhiin
need	ceednaan
choked	ceegeeysan
choking	ceego
strangled	ceegsan
choke	ceeji
choking	ceejo
sack	ceemad
raw	ceeriin
chase	ceerso
clouds	ceeryaamo
respect	cees
live	ceesh
repetition	celcelis
prevent	celi
chase	ceyri
chase	ceyro
cry	ci
worship	cibaadayso
worship	cibaadeysi
worship	cibaado
novelty	cibaaro
novelty	cibro
family	cid
someone	cid
anybody	cid alla ciddii
owner	ciddale
fingernail	ciddi
pole	cidhif
someone	cidi
uninhabited	cid la'
demon	cifriid
Igal	Cigaal
substitute	cigasho
dirt	ciid
draft	ciidamee
service	ciidamin
troops	ciidammo
navy	ciidanka badda
airforce	ciidanka cirka
infantry	ciidanka lugta
artillery	ciidanka madaafiicda
militarism	ciidannimo
subsoil	ciid hoosaad
soilsampling	ciidmuunadayn
grief	ciil
repentance	ciilkaanbi
angry	ciillan
tip	ciimid
buttermilk	ciir
Irre	Ciirre
cloud	ciiryaamo
cloud	ciiryaan
lance	ciis
Issa	Ciise
angry	ciishaysan
fingernail	ciji
argument	cilaaq
argue	cilaaq
relations	cilaaqaad
problem	cillad
hidden	cillan
learning	cilmi
Ilmi	Cilmi
ignorance	cilmidarro
orthopedics	cilmiga cudurrada addimmada
pediatrics	cilmiga cudurrada carruurta
dermatology	cilmiga cudurrada haragga
opthalmology	cilmiga cudurrada indhaha
medicine	cilmiga dhakhtarnimada
obstetrics	cilmiga dhalashada
psychology	cilminafsi
turban	cimaamad
shelter	cimil
trap	cimilgal
climate	cimilo
longevity	cimri dheeri
stubbornness	cinaad
stubbornness	cinaadnimo
grapes	cinab
mind	cindi
sterile	ciniin
impotence	ciniinnimo
scrap	ciniq
fingernail	cinji
engineer	cinjineer
punish	ciqaab
punishment	ciqaab
eloquence	ciraab
Iraq	Ciraaq
meteorology	ciraqoon
zenith	cirbar
astronaut	cirbexeen
track	cirbi
tracking	cirbin
cyclone	cirboor
demon	cirfiid
bulldozer	cirfiidad
eliminate	ciribgooy
eradicate	ciribtir
edge	cirif
orbit	cirmeer
orbit	cirmeerid
tornado	cirwareen
mist	ciryaamo
respect	cis
fine	cisaaro
hospital	cisbitaal
respect	cisee
respect	ciseyn
Osman	Cismaan
respect	ciso
defiance	cisyaan
believed	citiqaadsan
childhood	ciyaalnimo
immediately	ciyoon
immediately	ciyow
phonetics	codayn
orator	codkar
eloquence	codkarnimo
request	codo
phoneme	codrogid
appeal	codsasho
appeal	codsi
request	codso
loudspeaker	codweyneeye
enemy	col
wealth	cood
meat	cooddi
vulture	coomaadi
Osob	Cosob
Osoble	Cosoble
Osoba	Cosobo
stuff	cub
plug	cub
Ubtan	Cubtan
justification	cudaddaar
Udbi	Cudbi
bundle	cuddad
even	cuddoon
Udon	Cuddoon
parallelness	cuddoonaan
excuse	cudur
excuse	cudurdaar
smallpox	cudurka furuqa
malaria	cudurka kaneecoda
malaria	cudurka malaryada
diagnosis	cudursheeg
stuff	cuf
plug	cuf
stuff	cufee
wrist	cukur
weight	culaab
leech	culaacul
weightlifting	culaysqaad
ulama	culimmo
memory	cululubad
remember	cululubo
turban	cumaamad
Omar	Cumar
age	cumri
density	cumur
eat	cun
yellowneck	cunacas
boycott	cunaqabatayn
suffocation	cunaqabateys
choke	cunaqabo
itch	cuncun
itching	cuncunid
throat	cune
eating	cunid
eating	cunis
food	cunno
origin	cunsur
food	cunto
overeating	cunto iska badin
infant	cunug
incubation	cuq
curse	cuqubo
elders	cuquul
expect	cuquulee
collateral	curaar
cloud	curasho
hill	curcur
Ureeji	Cureeji
element	curiye
astrologer	curraaf
annoyance	curuf
fatigue	curuq
cripple	curyaami
cripple	curyaan
crippled	curyaansan
hospital	cusbataal
salt	cusbo
new	cusboon
newness	cusboonaan
renovate	cusbooneeysii
renovation	cusbooneeysiin
heaviness	cuslaan
Osman	Cusmaan
new	cusub
lute	cuud
rain	da'
age	da'aad
handle	daab
print	daabac
printed	daabacan
belch	daac
unfaithful	daacaddaran
dishonesty	daacadxumo
belching	daacaqurun
belch	daaco
cholera	daacuun
flood	daad
spill	daadi
spilled	daadsan
side	daaf
defense	daafac
protecting	daafacid
screen	daah
screened	daahan
curtaining	daahasho
delay	daahi
lateness	daahid
appear	daahir
Dahir	Daahir
calamity	daahiyad
late	daahsan
obscurity	daahsoonaan
permanence	daa'imis
circle	daa'iro
grazing	daajin
leftover	daalac
study	daalaco
tired	daalan
rest	daal gooy
tire	daali
petitioner	daalib
oppressor	daalin
fatigue	daalis
sweet	daallan
tired	daallan
crookedness	daallinnimo
rest	daaltiro
tarmac	daamir
dizziness	daandaan
provocation	daandaansasho
provocation	daandaansi
provoke	daandaanso
graze	daaq
pasture	daaq
window	daaqad
strength	daaqo
grazing	daaqsad
light	daar
fence	daarad
lit	daaran
ignition	daarid
store	daas
can	daasad
David	Daauud
peacock	daauus
viewer	daawade
baboon	daayeer
fire	dab
trapping	dab
swimming	dabaal
swim	dabaalo
diarrhea	dababbax
manner	dabac
stooge	dabadhilif
after	dabadiis
musket	dabafur
squirrel	dabaggaalle
follow	dabaggal
dependency	dabajoognimo
musket	dabakafur
postpone	dabammari
trapped	daban
lid	dabaq
rank	dabaqad
scorpion	dabaqallooc
follow	dabaraac
eradicated	dabargo'an
eradicate	dabargooy
follow	dabasoco
diarrhea	dabaxaw
windy	dabaylbadan
tank	dabbaabad
celebration	dabbaaldeg
celebrate	dabbaaldeg
stupidity	dabbaalnimo
apply	dabbaq
applied	dabbaqan
rage	dabbar
edition	dabcad
weaken	dabci
character	dabci
fireman	dabdamis
salvo	dab dhan
firearms	dabdheer
volcano	dabdhul
argument	dabeeb
arguing	dabeebad
argue	dabeebo
nature	dabeec
treat	dabiib
character	dabiicad
trap	dabin
trapmaker	dabinqool
ignited	dab leh
after	dabo
lid	dabool
cover	dabool
covered	daboolan
disguising	daboolid
sodomy	dabo wasid
hobbled	dabran
ambush	dabree
volley	dabrid
ambush	dabro
discussion	dabuub
